iter	Passed	Remaining
0	116	116827
1	117	58759
2	118	39428
3	119	29757
4	120	23936
5	120	20041
6	121	17254
7	122	15183
8	123	13572
9	124	12304
10	125	11249
11	125	10368
12	126	9625
13	127	8991
14	128	8432
15	129	7953
16	130	7529
17	130	7139
18	131	6787
19	132	6475
20	133	6203
21	133	5948
22	134	5713
23	135	5501
24	135	5303
25	136	5123
26	137	4952
27	138	4793
28	138	4647
29	139	4510
30	140	4383
31	140	4262
32	141	4158
33	142	4058
34	143	3960
35	144	3868
36	145	3782
37	145	3696
38	146	3615
39	147	3536
40	148	3465
41	148	3397
42	149	3330
43	150	3265
44	150	3203
45	151	3144
46	152	3088
47	153	3035
48	153	2984
49	154	2935
50	155	2894
51	156	2849
52	157	2808
53	157	2766
54	159	2735
55	159	2696
56	160	2657
57	161	2619
58	162	2584
59	162	2549
60	163	2516
61	164	2482
62	164	2451
63	165	2420
64	166	2390
65	166	2361
66	167	2332
67	168	2305
68	168	2279
69	169	2252
70	170	2226
71	170	2201
72	171	2182
73	172	2160
74	173	2139
75	174	2118
76	174	2096
77	175	2074
78	176	2054
79	176	2034
80	177	2015
81	178	1995
82	178	1973
83	179	1955
84	179	1937
85	180	1918
86	181	1901
87	181	1885
88	182	1870
89	183	1853
90	184	1838
91	184	1825
92	185	1812
93	186	1800
94	187	1786
95	188	1773
96	189	1760
97	190	1749
98	190	1735
99	191	1723
100	192	1711
101	193	1700
102	193	1688
103	194	1676
104	195	1664
105	196	1653
106	196	1642
107	197	1630
108	198	1619
109	198	1609
110	199	1597
111	200	1587
112	200	1577
113	201	1568
114	202	1559
115	203	1549
116	203	1538
117	204	1529
118	205	1519
119	206	1511
120	206	1502
121	208	1497
122	208	1488
123	209	1481
124	210	1472
125	211	1463
126	211	1453
127	212	1444
128	212	1436
129	213	1427
130	213	1418
131	214	1409
132	215	1402
133	215	1394
134	216	1387
135	217	1380
136	217	1372
137	218	1365
138	219	1357
139	219	1349
140	220	1342
141	220	1333
142	221	1325
143	221	1318
144	222	1311
145	222	1303
146	223	1296
147	224	1289
148	224	1283
149	225	1276
150	225	1269
151	226	1263
152	226	1256
153	227	1249
154	228	1243
155	228	1238
156	229	1232
157	230	1227
158	230	1221
159	231	1215
160	232	1209
161	232	1203
162	233	1197
163	233	1191
164	234	1185
165	234	1180
166	235	1174
167	235	1168
168	236	1162
169	237	1157
170	237	1152
171	238	1147
172	238	1142
173	239	1137
174	240	1131
175	240	1126
176	241	1121
177	241	1116
178	242	1111
179	242	1106
180	243	1102
181	244	1098
182	245	1094
183	245	1090
184	246	1086
185	247	1081
186	247	1077
187	248	1072
188	248	1068
189	249	1063
190	250	1058
191	250	1054
192	251	1049
193	251	1045
194	252	1040
195	252	1036
196	253	1032
197	253	1027
198	254	1023
199	255	1020
200	255	1016
201	256	1011
202	256	1007
203	257	1003
204	257	999
205	258	995
206	259	992
207	259	988
208	260	985
209	261	981
210	261	978
211	262	974
212	262	970
213	263	967
214	264	963
215	264	960
216	265	956
217	265	953
218	266	950
219	267	946
220	267	943
221	268	939
222	268	936
223	269	933
224	269	929
225	270	926
226	271	922
227	271	919
228	272	916
229	272	913
230	273	910
231	274	907
232	274	905
233	275	902
234	276	899
235	276	895
236	277	892
237	277	889
238	278	886
239	278	883
240	279	880
241	279	876
242	280	873
243	281	871
244	281	868
245	282	865
246	282	862
247	283	859
248	283	856
249	284	853
250	285	850
251	285	848
252	286	845
253	286	842
254	287	841
255	288	839
256	289	836
257	290	834
258	290	831
259	291	828
260	291	826
261	292	824
262	293	821
263	293	819
264	294	816
265	295	814
266	295	811
267	296	808
268	296	806
269	297	803
270	297	801
271	298	798
272	298	796
273	299	793
274	300	791
275	300	788
276	301	786
277	301	783
278	302	781
279	303	779
280	303	777
281	304	775
282	305	773
283	305	770
284	306	768
285	306	765
286	307	763
287	307	761
288	308	758
289	309	756
290	309	754
291	310	752
292	310	749
293	311	747
294	311	745
295	312	743
296	313	741
297	313	738
298	314	736
299	314	734
300	315	732
301	315	730
302	316	728
303	317	726
304	317	724
